"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"07/17/2017","AQS","040139997","3","2.2","ug/m3 LC","12","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/18/2017","AQS","040139997","3","0.5","ug/m3 LC","3","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/19/2017","AQS","040139997","3","1.8","ug/m3 LC","10","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/20/2017","AQS","040139997","3","3.3","ug/m3 LC","18","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/21/2017","AQS","040139997","3","2","ug/m3 LC","11","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/22/2017","AQS","040139997","3","-0.1","ug/m3 LC","0","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/23/2017","AQS","040139997","3","0.3","ug/m3 LC","2","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/24/2017","AQS","040139997","3","0","ug/m3 LC","0","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/25/2017","AQS","040139997","3","1.9","ug/m3 LC","11","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"07/26/2017","AQS","040139997","3","2.6","ug/m3 LC","14","JLG SUPERSITE","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
